ra,dec,z
54.4952709134697,-6.27062475105217,0.02209365
55.1000711604247,-6.22073737460177,0.02207281
54.4576674213311,-5.84948256664255,0.02094709
54.9049443125506,-5.6329285556718,0.02091155
179.934369084559,-3.39901884758275,0.01977947
188.088661660065,-3.44952697013115,0.08946521
180.740806835199,-3.09196853864864,0.01976533
184.850266233621,-3.09092763890817,0.08938826
162.753790149691,-2.38287844033006,0.02195251
179.055243690744,-2.6746344205704,0.02011001
179.243542853961,-2.63435136305767,0.02006635
179.684880592424,-2.64554296796906,0.02116951
182.802324929173,-2.6940558715311,0.089404
179.049744659586,-2.19623163972763,0.0212307
179.360589456055,-2.24772485702037,0.0207329
179.367403357358,-2.13262399332247,0.02018544
179.640110586342,-2.13566980378298,0.02058409
184.473387222549,-2.08917147855814,0.02053668
186.136723117049,-2.24761251837671,0.02204075
188.651231749515,-2.12272221232776,0.02073695
179.875040666231,-1.84909184257628,0.02099169
179.798359140108,-1.70705967793795,0.02034181
182.068691673591,-1.78253509711049,0.02124528
177.651422833644,-1.40958737373426,0.01977592
179.767243374556,-1.39390087851487,0.02050668
185.324497349552,-1.25414181683563,0.02165757
172.70232586139,-3.52438497338425,0.02158975
179.057835179833,-3.67152078510166,0.02146757
187.784815893977,-3.62792902083648,0.08939362
192.428019225385,-3.12267313710127,0.08951289
201.109061216349,-3.08535318702469,0.02129981
179.002399577175,-2.72005523578726,0.02030675
179.009508910744,-2.722277087094,0.02055053
180.668247724045,-2.81909522010128,0.08945707
181.759818666504,-2.73752346636605,0.02006612
184.897741889187,-2.83060742259398,0.02152295
184.920987237147,-2.79461858557038,0.02161853
184.937176846447,-2.75885257040486,0.02166812
188.660753164144,-2.91106439324511,0.02125157
179.176365582772,-2.30212071713042,0.02136674
179.524823236071,-2.31989804261836,0.02011811
181.211713641048,-2.43802111485198,0.02033143
186.062445348796,-2.35104053299018,0.02194971
179.362788432509,-1.99887025980317,0.02148156
179.538311227586,-2.05098276990473,0.02043436
179.576201313869,-1.95879468806151,0.02066419
179.71272837001,-2.04212953394656,0.02033469
179.819179151079,-1.91533020777698,0.02096925
179.950506566776,-1.94280087659975,0.02080771
184.292512378469,-1.90710912402188,0.02046939
185.580429345622,-2.05156307437329,0.02057751
186.809987476539,-2.03715960182925,0.02181603
179.494652967949,-1.55768099798556,0.02022056
179.692677909783,-1.46583939804448,0.02137359
179.804713696695,-1.60445495969586,0.02156794
180.591713276365,-1.45331286929204,0.0205009
184.257935882145,-1.47976866440663,0.02038462
184.395079453433,-1.61149241813423,0.02057402
185.643605050278,-1.54647842275094,0.02153558
145.647881555174,-0.77172514962061,0.02165231
148.266866057465,-0.78331699188777,0.08944994
